Family,Genus,Species,BM.F,BM.U,BW,CC,AFR,GL,IBI,LS,NNW,LW,LGR,WA,WW,DJ
Cheirogaleidae,Allocebus,trichotis,83,,,,,,,,,,,,,
Cheirogaleidae,Cheirogaleus,major,356,,7,,,71,,,18.1,,,70,,
Cheirogaleidae,Cheirogaleus,major,362,,,,,,,,,,,,,
Cheirogaleidae,Cheirogaleus,major,403,,,,,,,,,,,,,
Cheirogaleidae,Cheirogaleus,adipicaudatus,,,,,,,,,,,,,,
Cheirogaleidae,Cheirogaleus,crossleyi,,,,,,,,,,,,,,
Cheirogaleidae,Cheirogaleus,sibreei,,,,,,,,,,,,,,
Cheirogaleidae,Cheirogaleus,ravus,,,,,,,,,,,,,,
Cheirogaleidae,Cheirogaleus,minusculus,,,,,,,,,,,,,,
Cheirogaleidae,Cheirogaleus,medius,139,,,,1.19,62,12,2,12,38,2.64,61,,0.86
Cheirogaleidae,Cheirogaleus,medius,172,,,,1.4,,,,,,,,,
Cheirogaleidae,Microcebus,berthae,30,,,,,,,,,,,,,
Cheirogaleidae,Microcebus,griseorufus,63,,,,,,,,,,,,,
Cheirogaleidae,Microcebus,murinus,63,,1.8,,1,60,12,2,4.6,12.3,1.35,40,,0.73
Cheirogaleidae,Microcebus,murinus,72,,,,,,,,7,,,,,
Cheirogaleidae,Microcebus,myoxinus,49,,,,,,,,,,,,,
Cheirogaleidae,Microcebus,ravelobensis,56,,,,,,,,,,,,,
Cheirogaleidae,Microcebus,rufus,42,,,,,,,,,,,,,
Cheirogaleidae,Microcebus,sambiranensis,44,,,,,,,,,,,,,
Cheirogaleidae,Microcebus,tavaratra,61,,,,,,,,,,,,,
Cheirogaleidae,Mirza,coquereli,297,,,,1,87,12,2,14,22.5,,,,
Cheirogaleidae,Mirza,coquereli,302,,,,1.92,,,,17.5,,,,,
Cheirogaleidae,Mirza,coquereli,326,,,,,,,,,,,,,
Cheirogaleidae,Phaner,furcifer,328,,,,,,,,,,,,,
Daubentoniidae,Daubentonia,madagascariensis,2490,,44,,3.5,164,20,1,102,109,3.81,170,1535,2.04
Daubentoniidae,Daubentonia,madagascariensis,2572,,,,,169,,,147,,,365,,
Daubentoniidae,Daubentonia,madagascariensis,2800,,,,,,,,,,,,,
Lepilemuridae,Lepilemur,dorsalis,,500,,,,,,,,,,,,
Lepilemuridae,Lepilemur,edwardsi,934,,,,,,,,,,,,,
Lepilemuridae,Lepilemur,leucopus,594,,,,,,,,,,,,,
Lepilemuridae,Lepilemur,microdon,,,,,,,,,,,,,,
Lepilemuridae,Lepilemur,mustelinus,,777,,,1.83,135,,,27,34.7,2.65,75,,1.3
Lepilemuridae,Lepilemur,mustelinus,602,,,,1.88,,,,,,,76,,
Lepilemuridae,Lepilemur,ruficaudatus,779,,,7.4,1.63,,,,,,,120,,
Lepilemuridae,Lepilemur,septentrionalis,,750,,,,,,,,,,,,
Lemuridae,Eulemur,albocollaris,2150,,,,,,,,,,,,,
Lemuridae,Eulemur,collaris,,,,,,,,,,,,,,
Lemuridae,Eulemur,coronatus,1080,,,,,125,,1,48,,,,,
Lemuridae,Eulemur,coronatus,1177,,,,,,,,70,,,,,
Lemuridae,Eulemur,fulvus,2206,,,25.6,2.16,120,24,1,67.8,74.7,9.75,135,,1.46
Lemuridae,Eulemur,fulvus,2250,,,,2.66,,,,76,,,183,,
Lemuridae,Eulemur,fulvus,2428,,,,2.83,,,,83.3,,,,,
Lemuridae,Eulemur,macaco,1760,,,24.6,1.66,129,12,1,50,100,,135,,
Lemuridae,Eulemur,macaco,1793,,,,2.18,,,,74,,,,,
Lemuridae,Eulemur,macaco,2428,,,,2.58,,,,,,,,,
Lemuridae,Eulemur,macaco,2510,,,,,,,,,,,,,
Lemuridae,Eulemur,mongoz,1481,,23.8,,2.5,129,,1,57,55,,152,,1.75
Lemuridae,Eulemur,mongoz,1560,,,,2.52,,,,59.8,,,,,
Lemuridae,Eulemur,mongoz,1890,,,,,,,,,,,,,
Lemuridae,Eulemur,rubriventer,1940,,,,,123,,,82,,,,,
Lemuridae,Eulemur,rubriventer,1956,,,,,,,,89,,,,,
Lemuridae,Hapalemur,aureus,1390,,,,,,12,,,,,,,
Lemuridae,Hapalemur,griseus,670,,,14.6,2.38,140,11,1,45.2,56.7,,120,,1.67
Lemuridae,Hapalemur,griseus,709,,,,2.73,145,,,54,,,122,,
Lemuridae,Hapalemur,griseus,790,,,,2.92,,,,,,,154,,
Lemuridae,Hapalemur,griseus alaotrensis,,1450,,,,,,,,,,,,
Lemuridae,Hapalemur,simus,1300,,,,,,,,,,,,,
Lemuridae,Lemur,catta,2210,,22.6,23.4,2.01,135,14,1,65,103,9.15,105,,1.35
Lemuridae,Lemur,catta,2290,,,,2.25,,,,85,,,179,,
Lemuridae,Lemur,catta,,,,,2.63,,,,88.2,,,,,
Lemuridae,Varecia,variegata,3100,,102.1,31.2,1.42,102,12,2,78.4,90,1.95,89,2893,
Lemuridae,Varecia,variegata,3520,,,,1.92,175,,,87.2,,,90,,
Lemuridae,Varecia,variegata,3600,,,,2.72,,,,100,,,146,,
Indriidae,Avahi,laniger,875,,10.6,9.8,2.58,,12,,,,,150,,
Indriidae,Avahi,laniger,1050,,,,,,,,,,,,,
Indriidae,Avahi,laniger,1316,,,,,,,,,,,,,
Indriidae,Avahi,laniger,1320,,,,,,,,,,,,,
Indriidae,Avahi,occidentalis,777,,,,,,,,,,,,,
Indriidae,Avahi,unicolor,,,,,,,,,,,,,,
Indriidae,Propithecus,tattersalli,3500,,,30.5,4.5,,,,98,,,153,,
Indriidae,Propithecus,tattersalli,3590,,,,,,,,,,,,,
Indriidae,Propithecus,verreauxi,2950,,26.7,29.7,3.5,140,,,103.2,107,,180,,2.62
Indriidae,Propithecus,verreauxi,3183,,,,4.57,,,,,,,,,
Indriidae,Propithecus,verreauxi,3620,,,,,,,,,,,,,
Indriidae,Propithecus,coquereli,3244,,,,4.2,141,12,1,103,,,182,,
Indriidae,Propithecus,coquereli,4280,,,,,,,,,,,,,
Indriidae,Propithecus,diadema,6260,,,40,4,178,25,,135,,,183,,
Indriidae,Propithecus,diadema,,,,,4.51,,,,,,,363,,
Indriidae,Indri,indri,6250,,38.3,,,159,30,,,300,,363,,
Indriidae,Indri,indri,6840,,,,,,,,,,,365,,
Lorisidae,Arctocebus,aureus,,210,,,,,,,,,,,,
Lorisidae,Arctocebus,calabarensis,254,,,,1.12,135,6,,32,25.2,2.14,105,160,0.47
Lorisidae,Arctocebus,calabarensis,298,,,,1.17,,,,37,,,115,,
Lorisidae,Arctocebus,calabarensis,306,,,,,,,,,,,,,
Lorisidae,Loris,grandis,,,,,,,,,,,,,,
Lorisidae,Loris,lydekkerianus,269,,,,,,,,,,,,,
Lorisidae,Loris,malabaricus,193,,,,,,1,,,,,,,
Lorisidae,Loris,nordicus,,,,,,,,,,,,,,
Lorisidae,Loris,nycticeboides,,,,,,,,,,,,,,
Lorisidae,Loris,tardigradus,255,,,,1.5,166,6,,10,11.4,0.76,170,139,0.58
Lorisidae,Loris,tardigradus,,,,,,,,,11,,,,,
Lorisidae,Nycticebus,bengalensis,1020,,,,,,,,,,,,,
Lorisidae,Nycticebus,coucang,626,,12.8,,2.11,193,12,1,50.8,49.3,5.41,180,520,1.09
Lorisidae,Nycticebus,coucang,630,,,,,195,,,52,,,182,,
Lorisidae,Nycticebus,intermedius,,,,,,,,,,,,,,
Lorisidae,Nycticebus,javanicus,798,,,,,,,,,,,,,
Lorisidae,Nycticebus,menagensis,511,,,,,,,,,,,,,
Lorisidae,Nycticebus,pygmaeus,,307,,,,185,,2,20,,,,,
Lorisidae,Nycticebus,pygmaeus,,,,,,,,,23,,,,,
Lorisidae,Nycticebus,intermedius,,,,,,,,,17.8,,,,,
Lorisidae,Perodicticus,edwardsi,,1100,,,,,,,,,,,,
Lorisidae,Perodicticus,edwardsi,1210,,,,,,,,,,,,,
Lorisidae,Perodicticus,ibeanus,,,,,,,,,,,,,,
Lorisidae,Perodicticus,potto,836,,13.5,,2.03,195,12,1,33,51.2,4.73,150,,1.09
