Variable,Database,Unit,Description,Notes
Adult Mass (F),AnAge,-,-,
Adult Mass (M),AnAge,-,-,
Adult Mass (Unspecified),AnAge,grams,-,
Age @ First Reproduction,AnAge,-,- ,
Gestation Length,AnAge,days,- ,
Interbirth Interval,AnAge,days,-,
Lifespan ,AnAge,years,-,
Sexual Maturity (F),AnAge,days,-,
Sexual Maturity (M),AnAge,days,,
Sexual Maturity (Unspecified),AnAge,-,,
Weaning Age,AnAge,days,,
Adult Mass (F),Ernest,grams,average mass of a non-pregnant adult F,
Adult Mass (M),Ernest,-,-,
Adult Mass (Unspecified),Ernest,-,- ,
Age @ First Reproduction,Ernest,months,average age of first conception,
Gestation Length,Ernest,months,Average length of time for the gestation of a live offspring. Delayed implantation not included in gestation length,
Interbirth Interval,Ernest,-,-,"Ernest reports litters/year, kind of reciprocal of IBI? Also reported by Myrhvold & PanTHERIA"
Lifespan ,Ernest,months,Maximum recorded lifespan of either sex,
Sexual Maturity (F),Ernest,-,-,
Sexual Maturity (M),Ernest,-,-,
Sexual Maturity (Unspecified),Ernest,-,-,
Weaning Age,Ernest,months,The time from brith to when offspring begins eating solid food,
Adult Mass (F),Kappeler & Pereira,grams,mean body mass of wild adult females,
Adult Mass (M),Kappeler & Pereira,-,-,
Adult Mass (Unspecified),Kappeler & Pereira,grams,mean body mass of wild adults of unknown sex,description my own - original reports female and unknown sex within a single variable wherein unknown sex values are denoted by ~x where x is the mass in grams
Age @ First Reproduction,Kappeler & Pereira,years,mean age of first female reproduction,
Gestation Length,Kappeler & Pereira,days,mean gestation length,
Interbirth Interval,Kappeler & Pereira,months,mean interbirth interval,
Lifespan ,Kappeler & Pereira,-,-,
Sexual Maturity (F),Kappeler & Pereira,-,-,"reports duration of juvenile period in years, weaning age + duration of juvenile = age at maturity?"
Sexual Maturity (M),Kappeler & Pereira,-,-,
Sexual Maturity (Unspecified),Kappeler & Pereira,-,-,
Weaning Age,Kappeler & Pereira,days,mean age at weaning,
Adult Mass (F),Myrhvold et al,grams,"""the body mass of a female in grams""",
Adult Mass (M),Myrhvold et al,grams,"""the body mass of a male individual in grams""",
Adult Mass (Unspecified),Myrhvold et al,grams,"""the body mass of an adult individual in grams""",
Age @ First Reproduction,Myrhvold et al,-,-,
Gestation Length,Myrhvold et al,days,"""the time between conception and birth in days""",
Interbirth Interval,Myrhvold et al,years,"""the time between the reproduction cycles in years""",
Lifespan ,Myrhvold et al,years,"Maximum_longevity_y: ""the longest lifespan reported of the species in years"" / longevity_y: ""the lifespan of an individual in years""",
Sexual Maturity (F),Myrhvold et al,days,"""the amount of time it takes for a female individual to reach maturity in days""",
Sexual Maturity (M),Myrhvold et al,days,"""The amount of time it takes for a male individual to reach maturity in days""",
Sexual Maturity (Unspecified),Myrhvold et al,days,"""the amount of time it takes for an individual of unreported sex to reach maturity in days""",
Weaning Age,Myrhvold et al,days,"""The amount of time it takes to wean the offspring in days""",
Adult Mass (F),PanTHERIA,-,-,
Adult Mass (M),PanTHERIA,-,-,
Adult Mass (Unspecified),PanTHERIA,grams,Mass of non pregnant adult specimens of all population types and sex classes,
Age @ First Reproduction,PanTHERIA,-,- ,See Sexual Maturity (Unspecified)
Gestation Length,PanTHERIA,days,"Length of time of non-inactive fetal growth; measured between start points (conception, fertiliization, first observed copulatoin, implantation, palpably pregnant, capture, or unspecified) and birth",
Interbirth Interval,PanTHERIA,days,The length of time between successive births by the same female after a successful or unspecified litter using all population types,
Lifespan ,PanTHERIA,months,"Maximum recorded age from all population types (wild, captive, provisioned) and sex classes",
Sexual Maturity (F),PanTHERIA,days,"Age when individuals are first physically capable of reproducing, defined as first mating, first estrus, or first pregnancy",
Sexual Maturity (M),PanTHERIA,days,"Age when individuals are first physically capable of reproducing, defined as first mating, spermatogenesis, or testes descent",
Sexual Maturity (Unspecified),PanTHERIA,days,"Age when individuals are first physically capable of reproducing, defined as first mating",
Weaning Age,PanTHERIA,days,"Age when primary nutritonal dependence ends and independent foraging begins to constitute the majority of offsprings energetic intake, measured as either weaning/lactation length, nutritional independence, first solid food, last observed nursing for all population types and sex classes",
